Term | TF-IDF country | TF-IDF pop | TF-IDF rap | TF-IDFrock
we'll	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
try	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
again	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
But	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
know	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
will	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
x3	|	0.124939	|	1.249387	|	1.124449	|	0.000000	|	
Swingin'	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
doors	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Neon	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
lights	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Hardwood	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
floors	|	0.249877	|	0.000000	|	0.124939	|	0.124939	|	
It's	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Saturday	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
night	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Got	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
on	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
my	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
dancing	|	0.999510	|	0.999510	|	0.874571	|	0.000000	|	
boots	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
I've	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
cold	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Lonestar	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
steppin'	|	5.418540	|	0.000000	|	0.000000	|	0.000000	|	
mind	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
honky	|	7.826780	|	0.000000	|	0.000000	|	0.000000	|	
tonk	|	6.622660	|	0.000000	|	0.000000	|	0.000000	|	
need	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
fivepiece	|	1.806180	|	0.000000	|	0.000000	|	0.000000	|	
band	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
with	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
fiddle	|	1.204120	|	0.000000	|	0.301030	|	0.000000	|	
steel	|	0.499755	|	0.000000	|	0.374816	|	0.249877	|	
guitar	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Someone	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
hold	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
when	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
music	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
starts	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
happy	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
hour	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
get	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
there	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
Pretty	|	0.749632	|	1.624204	|	0.374816	|	0.000000	|	
girls	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
man	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
they're	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
everywhere	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
There	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
ain't	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
no	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
